"Azonosító";"Jelölés";"Csomag";"Mennyiség";"Elnevezés";"Szállító és referencia";
1;"J14";"523379924";1;"5-2337992-4 (w/o PoE: KRJ45-109NL)";;;
2;"J5";"PinHeader_2x05_P2.54mm_Vertical_SMD";1;"77313-101-10LF";;;
3;"J6";"BarrelJack_CUI_PJ-102AH_Horizontal";1;"PJ-102AH";;;
4;"RN1,RN2";"R_Cat16-4";2;"68k";;;
5;"IC3";"ATSAMA5D27SOM1";1;"ATSAMA5D27-SOM1";;;
6;"IC1";"MIC23451AAAYFLT5";1;"MIC23451-AAAYFL-T5";;;
7;"IC4,IC6,IC9";"QFN127P600X800X80-9N-D";3;"IS25LP512M-JLLE";;;
8;"IC8";"SOIC127P602X173-8N";1;"MIC2025-1YM";;;
9;"IC10";"SON65P300X300X90-9N-D";1;"ATA6561-GBQW-N";;;
10;"IC5";"SOP50P2000X120-48N";1;"MT29F32G08CBADBWP-12IT:D";;;
11;"IC7";"SOT65P210X110-5N";1;"NL17SZ126DFT2G";;;
12;"IC2";"SOT65P210X110-6N";1;"TMUX1219DCKR";;;
13;"J13";"875200010BLF";1;"87520-0010BLF";;;
14;"SW3,SW2,SW1";"SW_SPST_PTS645";3;"PTS645SM43SMTR92LFS";;;
15;"C21,C20,C17,C14";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"2.2uF/16V";;;
16;"C8,C13,C15,C16,C23,C22,C19,C18,C26,C27,C28,C25,C9,C35,C33,C37,C34,C31,C36,C38,C41,C42,C43,C30";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";24;"100nF";;;
17;"C10,C11,C12,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"4.7uF/10V";;;
18;"C24,C2,C32,C1,C3,C4,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"10uF/25V";;;
19;"C29";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"20pF";;;
20;"C39,C40";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"560pF";;;
21;"C7";"C_Disc_D11.0mm_W5.0mm_P5.00mm";1;"1F/5.5V";;;
22;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"22-28-4020";;;
23;"J21,J22";"PinHeader_1x03_P2.54mm_Vertical";2;"22-28-4030";;;
24;"J11,J10,J9,J8,J7";"PinHeader_1x05_P2.54mm_Vertical";5;"22-28-4050";;;
25;"J2,J3";"PinHeader_1x08_P2.54mm_Vertical";2;"22-28-4080";;;
26;"J20,J18";"PinHeader_2x05_P2.54mm_Vertical";2;"77313-101-10LF";;;
27;"J19";"PinHeader_2x07_P2.54mm_Vertical";1;"77313-101-14LF";;;
28;"J17";"PinHeader_2x08_P2.54mm_Vertical";1;"77313-101-16LF";;;
29;"J15";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"10103594-0001LF";;;
30;"J16";"DM1AA-SF-PEJ_21__1";1;"DM1AA-SF-PEJ_21_";;;
31;"D1";"D_SOD-123";1;"STPS1L60ZF";;;
32;"FB6,FB7,FB4,FB5,FB3,FB2,FB1,FB8";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"180R";;;
33;"L1,L2,L3";"L_1210_3225Metric_Pad1.42x2.65mm_HandSolder";3;"1uH/2.2A";;;
34;"JP2,JP10,JP9,JP8,JP3,JP7";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";6;"SolderJumper2";;;
35;"JP1,JP4,JP5,JP6";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels";4;"SolderJumper3";;;
36;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP2551-I-SN";;;
37;"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
38;"Q1,Q2";"SOT-23";2;"BSS138";;;
39;"D2";"SOT-23";1;"BAT54C";;;
40;"R19,R16,R15,R12,R59,R58";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"100R";;;
41;"R18,R14,R5,R22,R23,R24,R25,R27,R26,R39,R41,R43,R44,R45,R46,R47,R51,R1,R56,R54,R4,R53";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";22;"10k";;;
42;"R37,R13,R11,R9,R3,R17,R40,R48,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";9;"100k";;;
43;"R10,R8,R7,R34,R20,R21,R6,R36,R38,R35,R64,R63,R61,R60";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";14;"0R";;;
44;"R29";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"158k";;;
45;"R28";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"301k";;;
46;"R30,R32";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"309k";;;
47;"R31,R33";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"71.5k";;;
48;"R42";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10k (DNP)";;;
49;"R49,R50";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"470R";;;
50;"R52";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"200k";;;
51;"R62";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"120R";;;
52;"R57";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4k7";;;
53;"R55";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"22k";;;
54;"RN4,RN3";"R_Cat16-4";2;"330R";;;
